#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x
americanist_pilgrimage;[Root.Religion.GetName] Pilgrimage;;;;;;;;;;;;;x
americanist_pilgrimage_desc;Go on an patriotic pilgrimage to the great [Root.GetAmericanistPilgrimageCities].;;;;;;;;;;;;;x

americanist_pilgrimage_cities_americanist;Americanist holy cities: Boston, New York, Philadelphia, Washington, and Richmond;;;;;;;;;;;;;x
americanist_pilgrimage_cities_jeffersonian;Militarist holy sites: Alamo, Fort Benning, Fort Bragg, Richmond, and Washington;;;;;;;;;;;;;x
americanist_pilgrimage_cities_libertarian;Libertarian holy cities: Nashville, Washington, New York and Philadelphia;;;;;;;;;;;;;x

EVTDESC_america_pilgrim_prep;The time has come for you to undertake an epic pilgrimage to the five great [Root.GetAmericanistPilgrimageCities].\n\nBut first, you must prepare for the journey.;;;;;;;;;;;;;x
EVTOPT_pilgrim_respondneutral_learn;There is always more to learn from [Root.Religion.GetHighGodName].;;;;;;;;;;;;;x
EVTOPT_pilgrim_requestlearning;Request entrance in the name of [Root.Religion.GetHighGodName].;;;;;;;;;;;;;x


EVTNAME_pilgrim_alamo;Pilgrimage to Alamo;;;;;;;;;;;;;x
EVTDESC_pilgrim_alamo;The remarkably well-preserved chapel of Alamo was once the site of a legendary battle between the empires of Mexico and the Lone Star, before the latter joined America.\n\nEven today, Texans everywhere still invoke its memory as a rallying cry in times of war.;;;;;;;;;;;;;x
EVTNAME_pilgrim_benning;Pilgrimage to Fort Benning;;;;;;;;;;;;;x
EVTDESC_pilgrim_benning;If stories are to be believed, ancient soldiers of Fort Benning rode great metal beasts into battle, able to crush anything in front of them. You find yourself wondering - how would those monsters even look?;;;;;;;;;;;;;x
EVTNAME_pilgrim_bragg;Pilgrimage to Fort Bragg;;;;;;;;;;;;;x
EVTDESC_pilgrim_bragg;The area of Fort Bragg is said to once house flying warriors, able to strike the enemy from the skies - anywhere, anytime. Whether that is true or not, statues of soldiers wielding fantastical weapons can still be found.\n\nIf you are lucky, you may spot the elusive Saint Francis' satyr, flying near the lakes.;;;;;;;;;;;;;x
EVTDESC_pilgrim_richmond_j;The river city is known for its history of patriotic military struggle, and today serves as a trade center for the rich agricultural lands of the south. You find yourself thinking about the great Generals Lee, Grant, Sherman and many others - what would they do today? Even years later after the Great Civil War, the war has not left America.\n\nSoldiers from the region are known to demand either liberty or death if captured.;;;;;;;;;;;;;x
