#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x

#Nicknames
nick_the_nostalgia_critic;The Critic;;;;;;;;;x

# Retinues
RETTYPE_CUL_WEL;Ceidwadorpamp;;;;;;;;;;;;;x
ca_culture_welsh_1;Ceidwadorpamp Training Grounds;;;;;;;;;;;;;x
ca_culture_welsh_2;Ceidwadorpamp Training Grounds;;;;;;;;;;;;;x
ca_culture_welsh_3;Ceidwadorpamp Training Grounds;;;;;;;;;;;;;x
ca_culture_welsh_4;Ceidwadorpamp Training Grounds;;;;;;;;;;;;;x
ca_culture_welsh_1_desc;The Ceidwadorpamp of Puerto Madryn are trained here alongside their dismounted Iwmyn compatriots.;;;;;;;;;;;;;x

# Mercenaries 
d_border_patrol;Warriors of Ice;;;;;;;;;;;;;x
d_border_patrol_adj;Ice;;;;;;;;;;;;;x
ACT_DIRECTOR;Acting Director;;;;;;;;;;;;;x
ACT_DIRECTOR_FOA;Sir;;;;;;;;;;;;;x

# Bloodlines 
barron;Barron Blood;;;;;;;;;;;;;x
barron_desc;Hannibal Barron restored the Presidency a decade after its destruction by the Deitsch, he would go on to threaten the Holy Columbian Confederacy before being assassinated.;;;;;;;;;;;;;x 
creaux;Creaux Blood;;;;;;;;;;;;;x
creaux_desc;John Creaux united most of Louisiana under his banner, creating the largest and most powerful Voodooist realm on the American mainland.;;;;;;;;;;;;;x 
trump;Trump Blood;;;;;;;;;;;;;x
trump_desc;Harking back to a prominent pre-Event business family, the Trump dynasty has always been present in New York.;;;;;;;;;;;;;x

# Titles 
d_lake_charles;Lake Charles;;;;;;;;;;;;;x
d_lake_charles_adj;Charleston;;;;;;;;;;;;;x

# Religious Features 

DONA;Dona;;;;;;;;;;;;;x
