#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
succ_brethren_elective;Pirate Elective;;;;;;;;;;;;;x
succ_brethren_elective_desc;Pirates practice a unique system of succession, where the most able (and ruthless) capitan takes over. Unlike Feudal Electors, each elector has a different voting strength, based on his prestige, piety and attributes, making some electors more influential than others. The current ruler wields the most influence, unless disfigured, deformed or underage. Direct vassals of the ruler, close family members, Commanders, Councillors and Claimants are all viable candidates for succession;;;;;;;;;;;;;x
brethren_elective;Pirate Elective;;;;;;;;;;;;;x
gov_piracy;Pirate [PrimaryTitle.GetTier];;;;;;;;;;;;;x
tooltip_vote_good_pirate;[Root.GetFirstName] is a fearsome pirate;;;;;;;;;;;;;x
tooltip_vote_bad_pirate;[Root.GetFirstName] is a lousy pirate;;;;;;;;;;;;;x
tooltip_vote_good_martial;[Root.GetFirstName] is a powerful warrior;;;;;;;;;;;;;x
tooltip_vote_good_diplomacy;[Root.GetFirstName] is a great orator;;;;;;;;;;;;;x
tooltip_imperial_vote_strength_elector_piety;[Root.GetFirstName] is §YPious§!;[Root.GetFirstName] est §Yprestigieu[Root.GetXSe]§!;[Root.GetFirstName] ist §Yprestigeträchtig§!;;[Root.GetFirstName] es §Yprestigios[Root.GetOA]§!;;;;;;x
tooltip_vote_no_kills;[Root.GetFirstName] hasn't even killed a man!;;;;;;;;;;;;;x
tooltip_vote_at_least_one_kill;[Root.GetFirstName] has killed at least one man;;;;;;;;;;;;;x

tributary_pirate_cb_desc;§Y$TARGET$§! is rich and should pay tribute to you!\n\nThrough war you can force any realm that you border to pay you §Y40%§! of their income as tribute.\nThis type of §YTributary§! will §Rbreak free§! upon the death of the §YSuzerain§!.\nThis type of §YTributary§! can be called to war.;§Y$TARGET$§! est riche et devrait vous payer un tribut !\n\nPar la guerre, vous pouvez forcer tout pays à vous donner §G40%§! de ses revenus.\nCe type de tributaire sera §Rlibéré à la mort du suzerain§!.\nCe type de tributaire §Gpeut être appelé à la guerre§!.;§Y$TARGET$§! ist reich und sollte uns Tribut zahlen!\n\nDurch Krieg kann jedes Reich, das an Euch grenzt, dazu gezwungen werden, §Y40%§! ihres Einkommens als Tribut zu zahlen.\nDiese Art §YTributstaat§! wird bei Tod des §YSuzerän§! §Runabhängig§!.\nDiese Art §YTributstaat§! kann in den Krieg gerufen werden.;;¡§Y$TARGET$§! es rico y debería pagar tributo!\n\nPuedes usar la guerra para que cualquier reino fronterizo contigo te pague el §Y40%§! de sus ingresos como tributo.\nEsta clase de §Ytributario§! se §Rliberará§! con la muerte del §Ysoberano§!.\nEste tipo de §Ytributario§! puede ser llamado a la guerra.;;;;;;;;;x

become_pirate_king;Become The [Root.GetPirateMonarch];;;;;;;;;;;;;x
become_pirate_king_desc;From Vancouver to Guyana my name is spoken of in hushed whispers, my sails are known to all, and most importantly I have earned the respect of my fellow Brethren faitfhul. Perhaps the time has come to crown a new [Root.GetPirateMonarch]?;;;;;;;;;;;;;x
pirate_king_hereditary;Solidify Your Rule;;;;;;;;;;;;;x
pirate_king_hereditary_desc;I have plundered the seas of the Americas for years - there is not a soul in the world that could possibly contest my right to rule as [Root.GetPirateMonarch], and yet it is not enough. When I at long last meet Davy Jones in his watery halls my Kingdom shall turn to ash... but perhaps the time has come to change that?;;;;;;;;;;;;;x
vassalize_code_keepers;Vassalize the Keepers of the Code;;;;;;;;;;;;;x
