#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

HOLY_ORDER_DEMAND_SON_ALT;Most righteous [Root.GetTitledFirstName], I have a humble request for you in light of your debt to us. There is no rest in our defense against the infidel and we have desperate need of knights to lead our men. Thus, I would like to extend this opportunity to your able and noble [FromFrom.GetSonDaughter] [FromFrom.GetFirstName] to serve in our ranks. Naturally, this would disinherit [FromFrom.GetHerHim]. May [From.Religion.GetHighGodName] bless you,\n\n[From.GetTitledFirstName];Très juste [Root.GetTitledFirstName], j'ai une humble requête à vous soumettre, qui a trait à votre dette envers l'Ordre.\n\nComme vous le savez, notre lutte contre les infidèles ne connaît aucun répit et nous avons grand besoin de chevaliers. Nous présentons donc l'opportunité à votre fils [FromFrom.GetFirstName] de servir dans nos rangs afin de rembourser votre emprunt. Notez cependant que cet engagement le déshériterait.\n\nGrand Maître [From.GetFirstName];Rechtschaffenste[Root.GetrMale] [Root.GetTitledFirstName], ich habe eine bescheidende Bitte an euch angesichts eurer Schulden an uns. Unsere Verteidigung gegen die Ungläubigen hat keine Ruhe und wir brauchen dringend Ritter, um unsere Männer anzuführen. Ich möchte diese Gelegenheit daher nutzen, um euren fähigen und edlen Sohn [FromFrom.GetFirstName] anzufordern, um in unseren Reihen zu dienen. Natürlich würde dies ihn enterben. Möge [From.Religion.GetHighGodName] euch segnen,\n\nGroßmeister [From.GetFirstName];;Just[Root.GetOA] [Root.GetTitleFirstName]. Quisiera haceros una humilde petición respecto a la deuda que tenéis que nosotros. La lucha contra el infiel no descansa y estamos muy necesitados de caballeros que dirijan a nuestros hombres. Así pues, me gustaría extender la invitación a servir en nuestras filas a vuestro a capaz y noble hijo [FromFrom.GetFirstName]. Por supuesto, esto le desheredaría. Que [From.Religion.GetHighGodName] os bendiga.\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
EVTDESCHFPA23010;To [Root.GetTitledName],\nWe have heard your passionate plea for forgiveness, and We are certain that you will be eager to prove the sincerity of your repentance by devoting the life of your [son_monk_candidate.GetSonDaughter] [son_monk_candidate.GetFirstName] to [From.Religion.GetHighGodName].\n\nSincerely,\n[From.GetTitledName];[Root.Get_Au_TitledName],\nNous avons pris note de votre plaidoyer véhément pour le pardon et Nous sommes certain que vous aurez hâte de prouver la sincérité de votre repentance en vouant la vie d'un de vos enfants [From.Get_au_HighGod].\n\nCordialement,\n[From.GetTitledName];An [Root.GetTitledName],\nWir haben eure leidenschaftliche Bitte um Vergebung zur Kenntnis genommen und sind sicher, dass ihr die Aufrichtigkeit eurer Reue beweisen werdet, indem ihr eines eurer Kinder dem Leben von [From.Religion.GetHighGodName] widmet.\n\nHochachtungsvoll,\n[From.GetTitledName];;A [Root.GetTitledName], \nHemos escuchado tu apasionada petición de perdón y Nos estamos seguros que desearás mostrar la sinceridad de tu arrepentimiento dedicando la vida de uno de tus hijos a [From.Religion.GetHighGodName].\n\nAtentamente, \n[From.GetTitledName];;;;;;;;x
EVTDESCHFPA230100;To [Root.GetTitledName],\nWe have heard your passionate plea for forgiveness, and We are certain that you will be eager to prove the sincerity of your repentance by devoting the life of your [son_monk_candidate.GetSonDaughter] [son_monk_candidate.GetFirstName] to defence of the [From.Religion.GetHighGodName] as a member of.\n\nSincerely,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTDESCAHFP23011;The [FromFrom.GetTitle] has determined that the price for my wickedness is the life of my [son_monk_candidate.GetSonDaughter] [son_monk_candidate.GetFirstName]. [son_monk_candidate.GetSheHeCap] will take [son_monk_candidate.GetHerHis] leave [Root.Capital.GetName] to become a [son_monk_candidate.GetManWoman] of the faith.;;;;;;;;;;;;;x
EVTDESCAHFP230110;The [FromFrom.GetTitle] has determined that the price for my wickedness is the life of my [son_monk_candidate.GetSonDaughter] [son_monk_candidate.GetFirstName]. [son_monk_candidate.GetSheHeCap] will become a member of the [son_holyorder_host.PrimaryTitle.GetFullName], taking up arms in defence of [Root.GetHighGodName].;;;;;;;;;;;;;x

EVTDESCHFA20207;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] devotion by allowing one of [Root.GetHerHisCap] [son_holyorder_candidate.GetSonDaughter]s to do [son_holyorder_candidate.GetHerHis] part in the sacred war against the infidels by joining the [son_holyorder_host.PrimaryTitle.GetFullName].\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTBHF20207;I will not risk my [son_holyorder_candidate.GetSonDaughter]'s life for a crown.;;;;;;;;;;;;;x

EVTDESCAFI213;To the Just [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s inauguration, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] patriotism by allowing one of [Root.GetHerHisCap] [son_holyorder_candidate.GetSonDaughter]s to do [son_holyorder_candidate.GetHerHis] part in the struggle to preserve America by joining [son_holyorder_host.PrimaryTitle.GetFullName].\n\nSincerely,\n[From.GetTitledName];;;;;;;;;;;;;x
