#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x
tb_culture_sardinian_1;Ballestero Range;;;;;;;;;;;;;x
tb_culture_sardinian_2;Ballestero Range;;;;;;;;;;;;;x
tb_culture_sardinian_3;Ballestero Range;;;;;;;;;;;;;x
tb_culture_sardinian_4;Ballestero Range;;;;;;;;;;;;;x
tb_culture_arberian_1;Cossack Training Ground;;;;;;;;;;;;;x
tb_culture_arberian_2;Cossack Training Ground;;;;;;;;;;;;;x
tb_culture_arberian_3;Cossack Training Ground;;;;;;;;;;;;;x
tb_culture_arberian_4;Cossack Training Ground;;;;;;;;;;;;;x
tb_culture_coptic_1;Pikemen Training Ground;;;;;;;;;;;;;x
tb_culture_coptic_2;Pikemen Training Ground;;;;;;;;;;;;;x
tb_culture_coptic_3;Pikemen Training Ground;;;;;;;;;;;;;x
tb_culture_coptic_4;Pikemen Training Ground;;;;;;;;;;;;;x
tb_culture_chinese_han_1;Asian Crossbow Range;;;;;;;;;;;;;x
tb_culture_chinese_han_2;Asian Crossbow Range;;;;;;;;;;;;;x
tb_culture_chinese_han_3;Asian Crossbow Range;;;;;;;;;;;;;x
tb_culture_chinese_han_4;Asian Crossbow Range;;;;;;;;;;;;;x
tb_culture_moors_1;Cowboy Riding Ground;;;;;;;;;;;;;x
tb_culture_moors_2;Cowboy Riding Ground;;;;;;;;;;;;;x
tb_culture_moors_3;Cowboy Riding Ground;;;;;;;;;;;;;x
tb_culture_moors_4;Cowboy Riding Ground;;;;;;;;;;;;;x
tb_culture_germanic_1;Continental Training Ground;;;;;;;;;;;;;x
tb_culture_germanic_2;Continental Training Ground;;;;;;;;;;;;;x
tb_culture_germanic_3;Continental Training Ground;;;;;;;;;;;;;x
tb_culture_germanic_4;Continental Training Ground;;;;;;;;;;;;;x
tb_culture_jewish_1;Maccabee Training Ground;;;;;;;;;;;;;x
tb_culture_jewish_2;Maccabee Training Ground;;;;;;;;;;;;;x
tb_culture_jewish_3;Maccabee Training Ground;;;;;;;;;;;;;x
tb_culture_jewish_4;Maccabee Training Ground;;;;;;;;;;;;;x
tb_culture_dutch_1;New Yorker Militia Quarters;;;;;;;;;;;;;x
tb_culture_dutch_2;New Yorker Militia Quarters;;;;;;;;;;;;;x
tb_culture_dutch_3;New Yorker Militia Quarters;;;;;;;;;;;;;x
tb_culture_dutch_4;New Yorker Militia Quarters;;;;;;;;;;;;;x
tb_culture_ethiopian_1;Machetero Training Ground;;;;;;;;;;;;;x
tb_culture_ethiopian_2;Machetero Training Ground;;;;;;;;;;;;;x
tb_culture_ethiopian_3;Machetero Training Ground;;;;;;;;;;;;;x
