#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# Mictlantec 
mictlantec_FEATURES;§Y*§! Sacrifice prisoners to their gods, either individually or in a major ceremony\n§Y*§! Kings and emperors are expected to declare themselves Incarnates (living gods)\n§Y*§! May go on vision quests with the aid of sacramental herbs.\n§Y*§! May declare Flower Wars to gain captives for sacrifice\n§Y*§! Mictlantec rulers have a greater chance of capturing enemies and looting artifacts from their holder when leading armies and successfully sieging holdings;;;;;;;;;;;;;x

# Sol Invicta
sol_invicta_FEATURES;§Y*§! May go on vision quests with the aid of sacramental herbs;;;;;;;;;;;;;x

# Uahomche
uahomche;Uahomche;;;;;;;;;;;;;x
uahomche_DESC;Uahomche blends aspects of both Christianity and the traditional Mayan faith. Adherents believe that the Event was the end of the 5th world cycle, which was caused by both a lack of sacrifices and the conversion of Mayan believers to monotheism. Gods in the Uahomche pantheon are referred to as "angels", but most of these "angels" are simply pre-Christian Maya deities under a different name.;;;;;;;;;;;;;x
uahomche_FEATURES;§Y*§! May go on vision quests with the aid of sacramental herbs\n§Y*§! Rulers may sacrifice prisoners to their gods;;;;;;;;;;;;;x

uahomche_reformed;Uahomche;;;;;;;;;;;;;x
uahomche_reformed_DESC;Uahomche blends aspects of both Christianity and the traditional Mayan faith. Adherents believe that the Event was the end of the 5th world cycle, which was caused by both a lack of sacrifices and the conversion of Mayan believers to monotheism. Gods in the Uahomche pantheon are referred to as "angels", but most of these "angels" are simply pre-Christian Maya deities under a different name.;;;;;;;;;;;;;x

d_uahomche_reformed_adj;Uahomche;;;;;;;;;;;;;x
d_uahomche_reformed;Sovereign Altar;;;;;;;;;;;;;x

JAGUAR;Chilaaj Balam;;;;;;;;;;;;;x
JAGUAR_FOA;Your Excellency;;;;;;;;;;;;;x

uahomche_reformed_opinion;[uahomche_reformed.GetName] Opinion;;;;;;;;;;;;;x
religion_openly_uahomche_or_reformed_trigger;Publicly follows the §Y[uahomche_reformed.GetName]§! religion;;;;;;;;;;;;;x

