#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x

#Nicknames
nick_the_nostalgia_critic;The Critic;;;;;;;;;x

# Retinues
RETTYPE_CUL_WEL;Ceidwadorpamp;;;;;;;;;;;;;x
ca_culture_welsh_1;Ceidwadorpamp Training Grounds;;;;;;;;;;;;;x
ca_culture_welsh_2;Ceidwadorpamp Training Grounds;;;;;;;;;;;;;x
ca_culture_welsh_3;Ceidwadorpamp Training Grounds;;;;;;;;;;;;;x
ca_culture_welsh_4;Ceidwadorpamp Training Grounds;;;;;;;;;;;;;x
ca_culture_welsh_1_desc;The Ceidwadorpamp of Puerto Madryn are trained here alongside their dismounted Iwmyn compatriots.;;;;;;;;;;;;;x

# Mercenaries 
d_border_patrol;Warriors of Ice;;;;;;;;;;;;;x
d_border_patrol_adj;Ice;;;;;;;;;;;;;x
ACT_DIRECTOR;Acting Director;;;;;;;;;;;;;x
ACT_DIRECTOR_FOA;Sir;;;;;;;;;;;;;x

# Bloodlines 
barron;Barron Blood;;;;;;;;;;;;;x
barron_desc;Hannibal Barron restored the Presidency a decade after its destruction by the Deitsch, he would go on to threaten the Holy Columbian Confederacy before being assassinated.;;;;;;;;;;;;;x 
creaux;Creaux Blood;;;;;;;;;;;;;x
creaux_desc;John Creaux united most of Louisiana under his banner, creating the largest and most powerful Voodooist realm on the American mainland.;;;;;;;;;;;;;x 
trump;Trump Blood;;;;;;;;;;;;;x
trump_desc;Harking back to a prominent pre-Event business family, the Trump dynasty has always been present in New York.;;;;;;;;;;;;;x

# Titles 
d_lake_charles;Lake Charles;;;;;;;;;;;;;x
d_lake_charles_adj;Charleston;;;;;;;;;;;;;x

# Religious Features 

DONA;Dona;;;;;;;;;;;;;x
atewww_pills;Old World Medicine;;;;;;;;;;;;;x
atewww_pills_desc;A small container of unidentified pre-Calamity medicine.;;;;;;;;;;;;;x
ATEWWW_PILL_ANTIBIOTICS;Old World Medicine (Antibiotics);;;;;;;;;;;;;x
ATEWWW_PILL_ANTIVIRALS;Old World Medicine (Antivirals);;;;;;;;;;;;;x
ATEWWW_PILL_VITAMINS;Old World Medicine (Supplements);;;;;;;;;;;;;x
ATEWWW_PILL_VIAGRA;Old World Medicine (Sexual);;;;;;;;;;;;;x
ATEWWW_PILL_ANTIDEPRESSANTS;Old World Medicine (Psychoactive);;;;;;;;;;;;;x
ATEWWW_PILL_PAINKILLERS;Old World Medicine (Painkillers);;;;;;;;;;;;;x
ATEWWW_PILL_UNKNOWN;Old World Medicine (Unknown);;;;;;;;;;;;;x
ATEWWW_PILL_UNIDENTIFIED;Old World Medicine;;;;;;;;;;;;;x

ATEWWW_PILL_ANTIBIOTICS_desc;Old World Medicine (Antibiotics);;;;;;;;;;;;;x
ATEWWW_PILL_ANTIVIRALS_desc;Old World Medicine (Antivirals);;;;;;;;;;;;;x
ATEWWW_PILL_VITAMINS_desc;Old World Medicine (Supplements);;;;;;;;;;;;;x
ATEWWW_PILL_VIAGRA_desc;Old World Medicine (Sexual);;;;;;;;;;;;;x
ATEWWW_PILL_ANTIDEPRESSANTS_desc;Old World Medicine (Psychoactive);;;;;;;;;;;;;x
ATEWWW_PILL_PAINKILLERS_desc;Old World Medicine (Painkillers);;;;;;;;;;;;;x
ATEWWW_PILL_UNKNOWN_desc;Old World Medicine (Unknown);;;;;;;;;;;;;x
