##Trait
inaug_by_judge;Inaugurated by Judge;;;;;;;;;;;;;x
inaug_by_judge_desc;This ruler was inaugurated by a minor judge.\nA formal inauguration is considered by many a fundamental step in the legitimization of any proper [Root.Religion.GetName] [Root.GetTitle].;;;;;;;;;;;;;x

inaug_by_cjudge;Inaugurated by High Judge;;;;;;;;;;;;;x
inaug_by_cjudge_desc;This ruler was inaugurated by [Root.GetCrownedByDesc].\nA formal inauguration is considered by many a fundamental step in the legitimization of any proper [Root.Religion.GetName] [Root.GetTitle].;;;;;;;;;;;;;x

inaug_prez;Inaugurated President;;;;;;;;;;;;;x
inaug_prez_desc;This President was inaugurated by [Root.GetCrownedByDesc].\nA formal inauguration is considered by many a fundamental step in the legitimization of any proper President.;;;;;;;;;;;;;x

##Decisions
prepare_inaug_ceremony;Prepare an Inauguration Ceremony;;;;;;;;;;;;;x
prepare_inaug_ceremony_desc;Begin preparation for my Inauguration Ceremony. As a [Root.Religion.GetName] [Root.GetTitle], it is imperative for me to be inaugurated by a distinguished member of the Court in order to legitimize my divine right to rule.;;;;;;;;;;;;;x

prepare_inaug_ceremony_prez;Prepare Presidential Inauguration;;;;;;;;;;;;;x
prepare_inaug_ceremony_prez_desc;Begin preparation for my Presidential Inauguration Ceremony. As President of the Unites States, it is imperative for me to be inaugurated by a distinguished member of the Court in order to cement my favor among [Root.Religion.GetHighGodName].;;;;;;;;;;;;;x

tooltip_maxed_uninaug;Was not inaugurated after 30 years of rule;;;;;;;;;;;;;x

TT_INAUG_VASSAL_PRIEST;A vassal judge is available to perform the ceremony;;;;;;;;;;;;;x
TT_NOT_PREPARING_INAUGURATION;Is NOT already preparing for an inauguration;;;;;;;;;;;;;x
TT_NOT_RECENTLY_ASKED_INAUGURATION;Has NOT recently attempted to organize an inauguration [From.GetCoronationTimer];;;;;;;;;;;;;x

begin_inaug_tooltip;Start preparing for your inauguration ceremony;;;;;;;;;;;;;x

##Events
EVTNAMEAFI1;The Inauguration Ceremony;;;;;;;;;;;;;x
EVTDESCAAFI1;The time has finally come for me to be officially recognized as [Root.GetTitle] of [Root.PrimaryTitle.GetName]. In order do this, I will need the support of the [Root.Religion.GetName] Court, but convincing authoritative members will neither be easy nor cheap. To begin the preparations, I should find a judge willing to swear me in.;;;;;;;;;;;;;x
EVTDESCBAFI1;The time has finally come for me to be officially recognized as President of the United States of America. In order do this, I will need the support of the [Root.Religion.GetName] Court, but convincing authoritative members will neither be easy nor cheap. To begin the preparations, I should find a judge willing to swear me in.;;;;;;;;;;;;;x
EVTOPTAAFI1;Send for the most powerful Judge in the realm!;;;;;;;;;;;;;x
